title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,id,cluster
Games (The Kids Get Hard Mix),New Kids On The Block,0.763,0.814,6,-10.813,1,0.0636,0.0505,6.1e-06,0.185,0.788,99.47,321827,4,3UJcsNQGoEDoo5GwRhnWt5,3UJcsNQGoEDoo5GwRhnWt5,3
Fire,The Pointer Sisters,0.806,0.201,1,-18.221,1,0.0493,0.0922,5.63e-05,0.077,0.664,119.068,210921,4,4m4TYUPQ4J3ZAW9afLo39w,4m4TYUPQ4J3ZAW9afLo39w,6
Slow Hand,The Pointer Sisters,0.763,0.283,1,-17.982,1,0.0297,0.59,0.00035,0.0731,0.613,110.98,241148,4,0J08FNhhjoxiGRL3Tv1lA5,0J08FNhhjoxiGRL3Tv1lA5,6
Automatic,The Pointer Sisters,0.775,0.547,5,-14.196,1,0.046,0.0675,0.0,0.0508,0.818,110.997,297034,4,2F1yS09DPKek0AhM1JFSlH,2F1yS09DPKek0AhM1JFSlH,3
Should I Do It,The Pointer Sisters,0.67,0.773,2,-5.752,1,0.0331,0.067,4.02e-05,0.68,0.688,130.461,230547,4,1LOu6SFhz41rPWQFV3IIIe,1LOu6SFhz41rPWQFV3IIIe,7
Rapture,Blondie,0.724,0.704,11,-8.258,0,0.0511,0.113,0.00425,0.466,0.96,107.486,299373,4,6F2vo4sxRNQ58VYe3pdiaL,6F2vo4sxRNQ58VYe3pdiaL,5
Call Me,Blondie,0.557,0.825,2,-6.703,0,0.0335,0.000674,0.00284,0.071,0.767,142.645,212147,4,2Rp5y2FVCyY5L57iQHcx50,2Rp5y2FVCyY5L57iQHcx50,5
Dreaming,Blondie,0.379,0.87,2,-5.519,1,0.0377,1.47e-05,0.00142,0.0892,0.823,160.084,186440,4,2nvtmT6ltEm7MsofQI9e5r,2nvtmT6ltEm7MsofQI9e5r,0
Sunday Girl,Blondie,0.551,0.664,9,-8.309,1,0.0529,0.000915,0.0167,0.114,0.742,146.167,195440,4,1bCGzYa5RQYhVFM6G5Z4Jy,1bCGzYa5RQYhVFM6G5Z4Jy,3
One Way Or Another,Blondie,0.447,0.863,6,-6.303,0,0.0585,0.00365,0.0138,0.0448,0.835,162.311,208467,4,3DiRdaZtPrVdb4U2RIuRWm,3DiRdaZtPrVdb4U2RIuRWm,5
